"","week","group","mouse","weight","sex","series"
"6535",1,"group 2","65",12.6,"female","group 2 female"
"6536",2,"group 2","65",17.6,"female","group 2 female"
"6537",3,"group 2","65",17.6,"female","group 2 female"
"6538",4,"group 2","65",18.3,"female","group 2 female"
"6539",5,"group 2","65",19,"female","group 2 female"
"6540",6,"group 2","65",18.5,"female","group 2 female"
"6541",7,"group 2","65",19.5,"female","group 2 female"
"6542",8,"group 2","65",20.6,"female","group 2 female"
"6543",9,"group 2","65",21,"female","group 2 female"
"6544",10,"group 2","65",20.3,"female","group 2 female"
"6545",11,"group 2","65",21.1,"female","group 2 female"
"6546",12,"group 2","65",22,"female","group 2 female"
"6547",13,"group 2","65",21.2,"female","group 2 female"
"6548",14,"group 2","65",22.2,"female","group 2 female"
"6549",15,"group 2","65",22.5,"female","group 2 female"
"6550",16,"group 2","65",21.2,"female","group 2 female"
"6551",17,"group 2","65",21.6,"female","group 2 female"
"6552",18,"group 2","65",21.6,"female","group 2 female"
"6553",19,"group 2","65",21,"female","group 2 female"
"6554",20,"group 2","65",21.2,"female","group 2 female"
"6555",21,"group 2","65",21.1,"female","group 2 female"
"6556",22,"group 2","65",22.9,"female","group 2 female"
"6557",23,"group 2","65",21.5,"female","group 2 female"
"6558",24,"group 2","65",21.6,"female","group 2 female"
"6559",25,"group 2","65",22,"female","group 2 female"
"6560",26,"group 2","65",23,"female","group 2 female"
"6561",27,"group 2","65",22.4,"female","group 2 female"
"6562",28,"group 2","65",22.6,"female","group 2 female"
"6563",29,"group 2","65",21.2,"female","group 2 female"
"6564",30,"group 2","65",22.4,"female","group 2 female"
"6565",31,"group 2","65",23.5,"female","group 2 female"
"6566",32,"group 2","65",23.2,"female","group 2 female"
"6567",33,"group 2","65",22.3,"female","group 2 female"
"6568",34,"group 2","65",22.9,"female","group 2 female"
"6569",35,"group 2","65",23,"female","group 2 female"
"6570",36,"group 2","65",22,"female","group 2 female"
"6571",37,"group 2","65",21.9,"female","group 2 female"
"6572",38,"group 2","65",22,"female","group 2 female"
"6573",39,"group 2","65",23.2,"female","group 2 female"
"6574",40,"group 2","65",23.1,"female","group 2 female"
"6575",41,"group 2","65",21.4,"female","group 2 female"
"6576",42,"group 2","65",23,"female","group 2 female"
"6577",43,"group 2","65",21.1,"female","group 2 female"
"6578",44,"group 2","65",25.2,"female","group 2 female"
"6579",45,"group 2","65",25.6,"female","group 2 female"
"6580",46,"group 2","65",24.8,"female","group 2 female"
"6581",47,"group 2","65",25,"female","group 2 female"
"6582",48,"group 2","65",26.2,"female","group 2 female"
"6583",49,"group 2","65",26.3,"female","group 2 female"
"6584",50,"group 2","65",25.8,"female","group 2 female"
"6585",51,"group 2","65",25,"female","group 2 female"
"6586",52,"group 2","65",26.7,"female","group 2 female"
"6587",53,"group 2","65",27,"female","group 2 female"
"6588",54,"group 2","65",24.5,"female","group 2 female"
"6589",55,"group 2","65",26.4,"female","group 2 female"
"6590",56,"group 2","65",28.1,"female","group 2 female"
"6591",57,"group 2","65",25.9,"female","group 2 female"
"6592",58,"group 2","65",26.1,"female","group 2 female"
"6593",59,"group 2","65",25.6,"female","group 2 female"
"6594",60,"group 2","65",25.4,"female","group 2 female"
"6595",61,"group 2","65",24.1,"female","group 2 female"
"6596",62,"group 2","65",24.3,"female","group 2 female"
"6597",63,"group 2","65",22.5,"female","group 2 female"
"6599",65,"group 2","65",23.9,"female","group 2 female"
"6600",66,"group 2","65",24.3,"female","group 2 female"
"6601",67,"group 2","65",24.3,"female","group 2 female"
"6602",68,"group 2","65",23.5,"female","group 2 female"
"6603",69,"group 2","65",23.1,"female","group 2 female"
"6604",70,"group 2","65",25.6,"female","group 2 female"
"6605",71,"group 2","65",23.4,"female","group 2 female"
"6606",72,"group 2","65",22.8,"female","group 2 female"
"6607",73,"group 2","65",23.7,"female","group 2 female"
"6611",1,"group 2","66",11.2,"female","group 2 female"
"6612",2,"group 2","66",15.8,"female","group 2 female"
"6613",3,"group 2","66",15.6,"female","group 2 female"
"6614",4,"group 2","66",17.3,"female","group 2 female"
"6615",5,"group 2","66",17,"female","group 2 female"
"6616",6,"group 2","66",18.3,"female","group 2 female"
"6617",7,"group 2","66",17.3,"female","group 2 female"
"6618",8,"group 2","66",19.3,"female","group 2 female"
"6619",9,"group 2","66",19.5,"female","group 2 female"
"6620",10,"group 2","66",20,"female","group 2 female"
"6621",11,"group 2","66",20.5,"female","group 2 female"
"6622",12,"group 2","66",19.5,"female","group 2 female"
"6623",13,"group 2","66",20.3,"female","group 2 female"
"6624",14,"group 2","66",19.7,"female","group 2 female"
"6625",15,"group 2","66",21.3,"female","group 2 female"
"6626",16,"group 2","66",20.2,"female","group 2 female"
"6627",17,"group 2","66",19.8,"female","group 2 female"
"6628",18,"group 2","66",20.8,"female","group 2 female"
"6629",19,"group 2","66",20.4,"female","group 2 female"
"6630",20,"group 2","66",21.5,"female","group 2 female"
"6631",21,"group 2","66",20.7,"female","group 2 female"
"6632",22,"group 2","66",21.1,"female","group 2 female"
"6633",23,"group 2","66",21.2,"female","group 2 female"
"6634",24,"group 2","66",20.4,"female","group 2 female"
"6635",25,"group 2","66",21.3,"female","group 2 female"
"6636",26,"group 2","66",22,"female","group 2 female"
"6637",27,"group 2","66",21.1,"female","group 2 female"
"6638",28,"group 2","66",22.3,"female","group 2 female"
"6639",29,"group 2","66",21,"female","group 2 female"
"6640",30,"group 2","66",21,"female","group 2 female"
"6641",31,"group 2","66",21.9,"female","group 2 female"
"6642",32,"group 2","66",21.5,"female","group 2 female"
"6643",33,"group 2","66",22.8,"female","group 2 female"
"6644",34,"group 2","66",21.9,"female","group 2 female"
"6645",35,"group 2","66",21.9,"female","group 2 female"
"6646",36,"group 2","66",22.7,"female","group 2 female"
"6647",37,"group 2","66",22,"female","group 2 female"
"6648",38,"group 2","66",22.4,"female","group 2 female"
"6649",39,"group 2","66",22.4,"female","group 2 female"
"6650",40,"group 2","66",23.5,"female","group 2 female"
"6651",41,"group 2","66",22.2,"female","group 2 female"
"6652",42,"group 2","66",22.6,"female","group 2 female"
"6653",43,"group 2","66",24.1,"female","group 2 female"
"6654",44,"group 2","66",24,"female","group 2 female"
"6655",45,"group 2","66",24.6,"female","group 2 female"
"6656",46,"group 2","66",23.8,"female","group 2 female"
"6657",47,"group 2","66",23.3,"female","group 2 female"
"6658",48,"group 2","66",23.8,"female","group 2 female"
"6659",49,"group 2","66",24.7,"female","group 2 female"
"6660",50,"group 2","66",24.6,"female","group 2 female"
"6661",51,"group 2","66",23,"female","group 2 female"
"6662",52,"group 2","66",23.6,"female","group 2 female"
"6663",53,"group 2","66",24.5,"female","group 2 female"
"6664",54,"group 2","66",23.4,"female","group 2 female"
"6665",55,"group 2","66",24.9,"female","group 2 female"
