"","week","group","mouse","weight","death","sex","label"
"1",22,0,"Live Female Mice",31,1,0,"group 2   female "
"2",27,0,"Live Female Mice",22,1,0,"group 2   female "
"3",27,0,"Live Female Mice",22,0,0,"group 2   female "
"4",27,0,"Live Female Mice",22,0,0,"group 2   female "
"5",27,0,"Live Female Mice",22,0,0,"group 2   female "
"6",27,0,"Live Female Mice",22,0,0,"group 2   female "
"7",27,0,"Live Female Mice",22,0,0,"group 2   female "
"8",27,0,"Live Female Mice",22,0,0,"group 2   female "
"9",27,0,"Live Female Mice",22,0,0,"group 2   female "
"10",27,0,"Live Female Mice",22,0,0,"group 2   female "
"11",50,0,"Live Female Mice",20,1,0,"group 2   female "
"12",50,0,"Live Female Mice",20,1,0,"group 2   female "
"13",51,0,"Live Female Mice",13,0,0,"group 2   female "
"14",51,0,"Live Female Mice",13,0,0,"group 2   female "
"15",51,0,"Live Female Mice",13,0,0,"group 2   female "
"16",51,0,"Live Female Mice",13,0,0,"group 2   female "
"17",51,0,"Live Female Mice",13,0,0,"group 2   female "
"18",51,0,"Live Female Mice",13,0,0,"group 2   female "
"19",51,0,"Live Female Mice",13,0,0,"group 2   female "
"20",54,0,"Live Female Mice",12,1,0,"group 2   female "
"21",57,0,"Live Female Mice",11,1,0,"group 2   female "
"22",59,0,"Live Female Mice",10,1,0,"group 2   female "
"23",60,0,"Live Female Mice",8,1,0,"group 2   female "
"24",60,0,"Live Female Mice",8,1,0,"group 2   female "
"25",68,0,"Live Female Mice",7,1,0,"group 2   female "
"26",72,0,"Live Female Mice",6,1,0,"group 2   female "
"27",73,0,"Live Female Mice",0,0,0,"group 2   female "
"28",73,0,"Live Female Mice",0,0,0,"group 2   female "
"29",73,0,"Live Female Mice",0,0,0,"group 2   female "
"30",73,0,"Live Female Mice",0,0,0,"group 2   female "
"31",73,0,"Live Female Mice",0,0,0,"group 2   female "
"32",73,0,"Live Female Mice",0,0,0,"group 2   female "
"33",9,0,"Live Male Mice",31,1,1,"group 2   male "
"34",27,0,"Live Male Mice",22,1,1,"group 2   male "
"35",27,0,"Live Male Mice",22,0,1,"group 2   male "
"36",27,0,"Live Male Mice",22,0,1,"group 2   male "
"37",27,0,"Live Male Mice",22,0,1,"group 2   male "
"38",27,0,"Live Male Mice",22,0,1,"group 2   male "
"39",27,0,"Live Male Mice",22,0,1,"group 2   male "
"40",27,0,"Live Male Mice",22,0,1,"group 2   male "
"41",27,0,"Live Male Mice",22,0,1,"group 2   male "
"42",27,0,"Live Male Mice",22,0,1,"group 2   male "
"43",49,0,"Live Male Mice",20,1,1,"group 2   male "
"44",49,0,"Live Male Mice",20,1,1,"group 2   male "
"45",51,0,"Live Male Mice",13,0,1,"group 2   male "
"46",51,0,"Live Male Mice",13,0,1,"group 2   male "
"47",51,0,"Live Male Mice",13,0,1,"group 2   male "
"48",51,0,"Live Male Mice",13,0,1,"group 2   male "
"49",51,0,"Live Male Mice",13,0,1,"group 2   male "
"50",51,0,"Live Male Mice",13,0,1,"group 2   male "
"51",51,0,"Live Male Mice",13,0,1,"group 2   male "
"52",54,0,"Live Male Mice",12,1,1,"group 2   male "
"53",56,0,"Live Male Mice",11,1,1,"group 2   male "
"54",57,0,"Live Male Mice",10,1,1,"group 2   male "
"55",63,0,"Live Male Mice",9,1,1,"group 2   male "
"56",64,0,"Live Male Mice",8,1,1,"group 2   male "
"57",65,0,"Live Male Mice",7,1,1,"group 2   male "
"58",69,0,"Live Male Mice",6,1,1,"group 2   male "
"59",70,0,"Live Male Mice",3,1,1,"group 2   male "
"60",70,0,"Live Male Mice",3,1,1,"group 2   male "
"61",70,0,"Live Male Mice",3,1,1,"group 2   male "
"62",73,0,"Live Male Mice",0,0,1,"group 2   male "
"63",73,0,"Live Male Mice",0,0,1,"group 2   male "
"64",73,0,"Live Male Mice",0,0,1,"group 2   male "
"65",23,1,"Live Female Mice",30,1,0,"group 6   female "
"66",23,1,"Live Female Mice",30,1,0,"group 6   female "
"67",27,1,"Live Female Mice",24,0,0,"group 6   female "
"68",27,1,"Live Female Mice",24,0,0,"group 6   female "
"69",27,1,"Live Female Mice",24,0,0,"group 6   female "
"70",27,1,"Live Female Mice",24,0,0,"group 6   female "
"71",27,1,"Live Female Mice",24,0,0,"group 6   female "
"72",27,1,"Live Female Mice",24,0,0,"group 6   female "
"73",27,1,"Live Female Mice",24,0,0,"group 6   female "
"74",27,1,"Live Female Mice",24,0,0,"group 6   female "
"75",42,1,"Live Female Mice",23,1,0,"group 6   female "
"76",51,1,"Live Female Mice",15,0,0,"group 6   female "
"77",51,1,"Live Female Mice",15,0,0,"group 6   female "
"78",51,1,"Live Female Mice",15,0,0,"group 6   female "
"79",51,1,"Live Female Mice",15,0,0,"group 6   female "
"80",51,1,"Live Female Mice",15,0,0,"group 6   female "
"81",51,1,"Live Female Mice",15,0,0,"group 6   female "
"82",51,1,"Live Female Mice",15,0,0,"group 6   female "
"83",54,1,"Live Female Mice",14,1,0,"group 6   female "
"84",57,1,"Live Female Mice",13,1,0,"group 6   female "
"85",60,1,"Live Female Mice",12,1,0,"group 6   female "
"86",65,1,"Live Female Mice",11,1,0,"group 6   female "
"87",67,1,"Live Female Mice",10,1,0,"group 6   female "
"88",68,1,"Live Female Mice",8,1,0,"group 6   female "
"89",68,1,"Live Female Mice",8,1,0,"group 6   female "
"90",73,1,"Live Female Mice",7,1,0,"group 6   female "
"91",73,1,"Live Female Mice",0,0,0,"group 6   female "
"92",73,1,"Live Female Mice",0,0,0,"group 6   female "
"93",73,1,"Live Female Mice",0,0,0,"group 6   female "
"94",73,1,"Live Female Mice",0,0,0,"group 6   female "
"95",73,1,"Live Female Mice",0,0,0,"group 6   female "
"96",73,1,"Live Female Mice",0,0,0,"group 6   female "
"97",27,1,"Live Male Mice",24,0,1,"group 6   male "
"98",27,1,"Live Male Mice",24,0,1,"group 6   male "
"99",27,1,"Live Male Mice",24,0,1,"group 6   male "
"100",27,1,"Live Male Mice",24,0,1,"group 6   male "
"101",27,1,"Live Male Mice",24,0,1,"group 6   male "
"102",27,1,"Live Male Mice",24,0,1,"group 6   male "
"103",27,1,"Live Male Mice",24,0,1,"group 6   male "
"104",27,1,"Live Male Mice",24,0,1,"group 6   male "
"105",42,1,"Live Male Mice",23,1,1,"group 6   male "
"106",51,1,"Live Male Mice",15,0,1,"group 6   male "
"107",51,1,"Live Male Mice",15,0,1,"group 6   male "
"108",51,1,"Live Male Mice",15,0,1,"group 6   male "
"109",51,1,"Live Male Mice",15,0,1,"group 6   male "
"110",51,1,"Live Male Mice",15,0,1,"group 6   male "
"111",51,1,"Live Male Mice",15,0,1,"group 6   male "
"112",51,1,"Live Male Mice",15,0,1,"group 6   male "
"113",51,1,"Live Male Mice",15,0,1,"group 6   male "
"114",55,1,"Live Male Mice",14,1,1,"group 6   male "
"115",63,1,"Live Male Mice",12,1,1,"group 6   male "
"116",63,1,"Live Male Mice",12,1,1,"group 6   male "
"117",64,1,"Live Male Mice",11,1,1,"group 6   male "
"118",70,1,"Live Male Mice",10,1,1,"group 6   male "
"119",73,1,"Live Male Mice",0,0,1,"group 6   male "
"120",73,1,"Live Male Mice",0,0,1,"group 6   male "
"121",73,1,"Live Male Mice",0,0,1,"group 6   male "
"122",73,1,"Live Male Mice",0,0,1,"group 6   male "
"123",73,1,"Live Male Mice",0,0,1,"group 6   male "
"124",73,1,"Live Male Mice",0,0,1,"group 6   male "
"125",73,1,"Live Male Mice",0,0,1,"group 6   male "
"126",73,1,"Live Male Mice",0,0,1,"group 6   male "
"127",73,1,"Live Male Mice",0,0,1,"group 6   male "
"128",73,1,"Live Male Mice",0,0,1,"group 6   male "
